wn,n
7,1.097997302093065
8,0.6415507276379124
9,
10,6.748680285267553
11,2.610018010156215
12,2.2157719742726383
13,2.0587449294482676
14,1.9743111344072604
15,1.9218076352439917
16,1.8861812864709893
17,1.8605473370946133
18,1.8413072060325875
19,1.8263968676272098
20,1.8145483027873177
21,1.80494013461072
22,1.7970173924709336
23,1.7903919877485506
24,1.7847846588524134
25,1.7799895383942708
26,1.775851689450056
27,1.7722523949516766
28,1.769099251145204
29,1.7663193315970014
30,1.76385436774305
31,1.7616572858642343
32,1.7596896760860985
33,1.7579199141039588
34,1.7563217479382487
35,1.7548732211806741
36,1.753555843183415
37,1.7523539428268429
38,1.7512541603843517
39,1.7502450444083713
40,1.7493167292911376
41,1.7484606753781646
42,1.7476694580049796
43,1.7469365951073446
44,1.7462564054747518
45,1.7456238915196813
46,1.7450346417906328
47,1.7444847494850733
48,1.7439707440045698
49,1.7434895332001195
50,1.7430383544257535
51,1.7426147328858144
52,1.7422164460501488
53,1.7418414931400064
54,1.741488068869307
55,1.7411545407714883
56,1.740839429559196
57,1.7405413920587292
58,1.7402592063380233
59,1.7399917587096716
60,1.7397380323418856
61,1.7394970972526036
62,1.739268101496887
63,1.7390502633867424
64,1.738842864606615
65,1.7386452441079658
66,1.7384567926832213
67,1.7382769481335905
68,1.738105190957226
69,1.7379410404943332
70,1.737784051474436
71,1.7376338109183211
72,1.737489935353427
73,1.7373520683067791
74,1.7372198780441614
75,1.7370930555281385
76,1.7369713125709456
77,1.7368543801611862
78,1.736742006945817
79,1.7366339578511003
80,1.7365300128281103
81,1.7364299657100535
82,1.736333623170112
83,1.736240803769789
84,1.7361513370888548
85,1.7360650629289622
86,1.735981830583862
87,1.7359014981699092
88,1.7358239320112132
89,1.735749006074374
90,1.7356766014482758
91,1.7356066058648643
92,1.7355389132572447
93,1.7354734233518108
94,1.7354100412914266
95,1.735348677286987
96,1.735289246294927
97,1.7352316677184925
98,1.7351758651307847
99,1.7351217660177796
100,1.7350693015396876
